Gender,Age_min,Age_max,n,Hand,Mean,SD_AbsoluteVal,SD_Percentage,SEM,Min,Max
1,18,19,33,D,51.2,6.6,-12.9,1.15,33.7,64
1,18,19,33,ND,48.3,7.7,-15.8,1.33,28.7,63.3
1,20,24,29,D,53.9,8.7,-16.2,1.62,40.7,79
1,20,24,29,ND,51.2,8.5,-16.6,1.58,34.3,72.7
1,25,29,30,D,53,7.5,-14.1,1.36,40.7,74.3
1,25,29,30,ND,50.4,7.5,-14.9,1.37,40,73.3
1,30,34,28,D,55,7.1,-12.9,1.33,42,68
1,30,34,28,ND,52.5,7.3,-13.9,1.38,40,68.3
1,35,39,41,D,55.9,7.9,-14.1,1.23,36,73
1,35,39,41,ND,53.6,8.7,-16.2,1.36,37.3,73.3
1,40,44,37,D,54.2,8.1,-15,1.33,40,78
1,40,44,37,ND,53.4,8.5,-15.9,1.39,36.7,83.7
1,45,49,31,D,51.8,8.3,-16,1.49,30.7,64
1,45,49,31,ND,60,7.2,-14.5,1.3,32.3,62.7
1,50,54,40,D,50.8,9.1,-17.8,1.43,26.3,73.3
1,50,54,40,ND,59.2,8.9,-18,1.4,28.3,72.3
1,55,59,30,D,53.6,8.6,-16.1,1.58,35.7,72
1,55,59,30,ND,51.1,8,-15.6,1.45,37.7,69
1,60,64,33,D,47.9,6.4,-13.3,1.11,33.7,62.7
1,60,64,33,ND,47.6,6.5,-13.7,1.14,30.7,58.7
1,65,65,46,D,43,6.8,-15.8,1,25.3,57
1,65,65,46,ND,42.3,6.4,-15.2,0.95,24,54
1,70,74,33,D,41.7,8.9,-21.3,1.54,22.7,61
1,70,74,33,ND,40.8,8.6,-21.2,1.5,21.3,61.3
1,75,79,28,D,36.8,9.7,-26.5,1.84,17,54.3
1,75,79,28,ND,36.6,8.9,-24.2,1.67,19.3,52.7
1,80,84,29,D,30.7,9.1,-29.5,1.68,12.3,54
1,80,84,29,ND,29.4,8.7,-29.6,1.62,11.3,47
1,85,150,28,D,22.4,6.2,-27.6,1.17,11.3,36.3
1,85,150,28,ND,23.2,5.9,-25.3,1.11,9.7,34.3
2,18,19,33,D,32,4.8,-15.1,0.87,22.7,42.7
2,18,19,33,ND,30.7,4.1,-13.3,0.73,24,38
2,20,24,29,D,33.4,5.4,-16.2,0.97,23.7,42.3
2,20,24,29,ND,31.5,4.8,-15.3,0.87,19,38.3
2,25,29,30,D,34.3,5.7,-16.5,1.04,22,45
2,25,29,30,ND,33.6,6.1,-18.1,1.1,23.3,45.7
2,30,34,28,D,33.8,5.9,-17.3,1.07,20.3,45.7
2,30,34,28,ND,32.6,4.6,-14.2,0.85,22.3,40
2,35,39,41,D,35.8,6.7,-18.7,1.03,18.7,50
2,35,39,41,ND,34.6,5.9,-17,0.91,18.7,49.7
2,40,44,37,D,34,6,-16.7,0.96,24.3,51.3
2,40,44,37,ND,34.7,5.3,-15.4,0.85,25.3,45.7
2,45,49,31,D,34.1,5.3,-15.5,0.83,24.3,47.7
2,45,49,31,ND,33.6,5.5,-16.2,0.86,24,47.3
2,50,54,40,D,33.7,4.5,-13.2,0.77,24,42
2,50,54,40,ND,33.7,4.6,-13.7,0.79,22.7,42.7
2,55,59,30,D,31.9,4.9,-15.3,0.92,25.3,48
2,55,59,30,ND,31.5,5.9,-18.6,1.11,25,55.3
2,60,64,33,D,28.7,5.5,-19.1,1,13.3,37
2,60,64,33,ND,28.3,5.3,-18.7,0.96,15.3,35.3
2,65,65,46,D,29.5,3.6,-12.2,0.62,23.3,36.7
2,65,65,46,ND,27.8,4.5,-16.1,0.77,20,36.7
2,70,74,33,D,26.4,6.8,-25.6,1.3,10.3,40.7
2,70,74,33,ND,26,5.5,-21.1,1.06,14.3,38
2,75,79,28,D,25,4.5,-17.9,0.88,16.7,34.7
2,75,79,28,ND,23.7,4.8,-20.1,0.93,14.3,30.7
2,80,84,29,D,19.2,5.2,-27.3,0.93,9.3,30.3
2,80,84,29,ND,19.7,5.1,-25.7,0.9,9.7,29
2,85,150,28,D,16.9,4.8,-28.1,0.9,9.3,27
2,85,150,28,ND,16.7,4.9,-29.4,0.93,7.7,25.7
